ID,DESCRIPTION,LITHOLOGY
2369,stiff gray silty clay,CLAY AND SAND
2370,gravel sand,SAND AND GRAVEL
2371,Gray clay,CLAY
2372,hard brown clay (moist) A-6,CLAY
2373,pinkish gray clay,CLAY
2374,soft sandy gray clay,CLAY AND SAND
2375,Asphalt,FILL
2376,Asphalt pavement,FILL
2377,gray & white limestone,BEDROCK
2378,Niagaran,BEDROCK
2379,limestone rock,BEDROCK
2380,weathered limestone,BEDROCK
2381,chert,BEDROCK
2382,white water sand,SAND
2383,hard gray sandy clay loam till,CLAY AND SAND
2384,"sand, gravel & clay",CLAY AND GRAVEL
2385,dirty sandstone,BEDROCK
2386,stiff black silty clay,CLAY
2387,stony clay,CLAY AND GRAVEL
2388,gray brown clay,CLAY
2389,No record,UNKNOWN
2390,gravel w/clay,CLAY AND GRAVEL
2391,#6 coal,BEDROCK
2392,"gravel, coarse",GRAVEL
2393,pebbley gray clay,CLAY AND GRAVEL
2394,"clay, green",CLAY
2395,timber soil,SOIL
2396,gravel & clay mix,CLAY AND GRAVEL
2397,Kinderhook shale,BEDROCK
2398,brown sandrock,BEDROCK
2399,fine cemented sand,SAND
2400,"coal, soft",BEDROCK
2401,fine-coarse sand,SAND
2402,gray clay sandy,CLAY AND SAND
2403,Shelburn,BEDROCK
2404,12-20 slot sand,SAND
2405,clay (brown),CLAY
2406,concrete,FILL
2407,Very stiff gray clay till,CLAY AND SAND
2408,hard rock,BEDROCK
2409,gravelly blue clay,CLAY AND GRAVEL
2410,light brown clay,CLAY
2411,coarse sand to fine gravel,SAND AND GRAVEL
2412,clay surface,CLAY
2413,medium brown sand,SAND
2414,white clay,CLAY
2415,silty fine sand,SILT AND SAND
2416,big gravel,GRAVEL
2417,sandstone brown,BEDROCK
2418,gray soft shale,BEDROCK
2419,fine dirty sand,SAND
2420,hard gray sandstone,BEDROCK
2421,sticky clay,CLAY
2422,sand yellow,SAND
2423,Fern Glen,BEDROCK
2424,light sand shale,BEDROCK
2425,Sand,UNKNOWN
2426,brown sandy silt,SILT AND SAND
2427,brown peat,ORGANIC MATERIAL
2428,sand (water),UNKNOWN
2429,Devonian Lime,BEDROCK
2430,stoney blue clay,CLAY AND GRAVEL
2431,sand water,UNKNOWN
2432,McClosky Middle,BEDROCK
2433,10-15 slot sand,SAND
2434,firm gray clay,CLAY
2435,yellow lime rock,BEDROCK
2436,"hard, gray silty clay",CLAY
2437,gray medium sand,SAND
2438,coal at,BEDROCK
2439,Galena limestone,BEDROCK
2440,no samples collected,UNKNOWN
2441,hard sandy shale,BEDROCK
2442,Hard Blue Clay,CLAY
2443,yellow sand-gravel,SAND AND GRAVEL
2444,Yankeetown,BEDROCK
2445,"12"" of topsoil",SOIL
2446,clay & gravel mix,CLAY AND GRAVEL
2447,gray & black shale,BEDROCK
2448,gray sandy clay at,CLAY AND SAND
2449,very stiff brown clay (moist) A-7-6,CLAY
2450,coarse brown sand,SAND
2451,gray sand shale,BEDROCK
2452,"gravel, sand",SAND AND GRAVEL
2453,dry sand & gravel,SAND AND GRAVEL
2454,embedded blue clay,CLAY
2455,limestone & sandstone,BEDROCK
2456,Unnamed Coal 409,BEDROCK
2457,gravel coarse,GRAVEL
2458,clay-blue,CLAY
2459,soft lime,UNKNOWN
2460,Very soft blue clay.,CLAY
2461,sanded clay,CLAY WITH SAND STREAKS
2462,gravel fill,FILL
2463,Hard blue clay,CLAY
2464,gray sand fine,SAND
2465,clayey sand,CLAY AND SAND
2466,gray clay trace sand & gravel,CLAY AND SAND
2467,very stiff gray silty clay,CLAY
2468,sea mud,CLAY
2469,sandy gray clay w/gravel,CLAY AND GRAVEL
2470,"soil, black",SOIL
2471,Hardin,BEDROCK
2472,solid limestone,BEDROCK
2473,"soapstone, soft",BEDROCK
2474,sand - fine,SAND
2475,clay w/gravel streaks,CLAY AND GRAVEL
2476,sand fine to medium,SAND
2477,Robinson Lower,BEDROCK
2478,coarse sand and gravel,GRAVEL
2479,limey shale,BEDROCK
2480,gray clay loam till,CLAY AND SAND
2481,Ridgley,BEDROCK
2482,gray sand and gravel,SAND AND GRAVEL
2483,yellow brown clay,CLAY
2484,fine - medium sand,SAND
2485,Borden,BEDROCK
2486,gravel and sand,SAND AND GRAVEL
2487,very stiff gray clay loam till,CLAY AND SAND
2488,gry sh,BEDROCK
2489,dug well,UNKNOWN
2490,hardpan sand,CLAY AND SAND
2491,sh,BEDROCK
2492,hard gray lime,BEDROCK
2493,pea gravel,GRAVEL
2494,"soil, yellow clay",SOIL
2495,surface & clay,CLAY
2496,Soft Blue Clay,CLAY
2497,"silty clay,trace sand & gravel,gray,very tough",CLAY AND GRAVEL
2498,multi color gravel,GRAVEL
2499,sand / gravel,SAND AND GRAVEL
2500,slate black,BEDROCK
2501,shell rock,BEDROCK
2502,lime & sand,BEDROCK
2503,"clay, gray & gravel",CLAY AND GRAVEL
2504,Houchin Creek Coal,BEDROCK
2505,Coal,BEDROCK
2506,Bituminous concrete,FILL
2507,gray clay loam,CLAY AND SAND
2508,sand gravel clay,CLAY AND GRAVEL
2509,Water,UNKNOWN
2510,Dekoven Coal,BEDROCK
2511,silt/clay,CLAY
2512,flat gray gravel,GRAVEL
2513,fine to med sand,SAND
2514,dark brown silty clay,CLAY
2515,hardpan clay,CLAY
2516,silty gray clay,CLAY
2517,lean clay,CLAY
2518,gray coarse sand,SAND
2519,soft green clay,CLAY
2520,drilled in rock,BEDROCK
2521,Silurian dolomite,BEDROCK
2522,shaly sand,SAND AND GRAVEL
2523,gray shale at,BEDROCK
2524,fine to medium gravel,GRAVEL
2525,"sand, water",UNKNOWN
2526,red sandstone,BEDROCK
2527,Trenton lime,BEDROCK
2528,brown silty clay loam,CLAY AND SAND
2529,yellow sand rock,BEDROCK
2530,gray clay & gravel 50/50,CLAY AND GRAVEL
2531,Fine yellow sand,SAND
2532,fine sand at,SAND
2533,gray stony clay,CLAY
2534,limestone bedrock,BEDROCK
2535,red & gray shale,BEDROCK
2536,Black clayey topsoil,SOIL
2537,slate dark,BEDROCK
