ID,DESCRIPTION,LITHOLOGY
1601,lime-flint,BEDROCK
1602,limestone - dark gray,BEDROCK
1603,limestone - light gray,BEDROCK
1604,limestone - shale,BEDROCK
1605,limestone & clay streaks,DIRT AND BEDROCK
1606,limestone & streaks of shale,BEDROCK
1607,limestone (Burlington),BEDROCK
1608,limestone (flint),BEDROCK
1609,limestone as above,BEDROCK
1610,limestone brown & gray,BEDROCK
1611,limestone brown & white,BEDROCK
1612,limestone buff,BEDROCK
1613,limestone buff (Piasa),BEDROCK
1614,limestone buff-Piasa ls.,BEDROCK
1615,limestone clay,DIRT AND BEDROCK
1616,limestone dark gray shaley,BEDROCK
1617,limestone dark hard,BEDROCK
1618,"limestone gray, dense, hard",BEDROCK
1619,"limestone gray, hard",BEDROCK
1620,limestone gray/white,BEDROCK
1621,limestone gray/yellow,BEDROCK
1622,limestone shale layers,BEDROCK
1623,limestone very shaley,BEDROCK
1624,limestone white & gray,BEDROCK
1625,limestone white medium,BEDROCK
1626,"limestone white, hard",BEDROCK
1627,limestone with streaks of shale,BEDROCK
1628,limestone yellow gray,BEDROCK
1629,limestone yellow/broken,BEDROCK
1630,limestone/shale streaks,BEDROCK
1631,limestone-Bankston Fork ls.,BEDROCK
1632,limestone-Burlington,BEDROCK
1633,limestone-Keokuk,BEDROCK
1634,limestone-Shoal Creek ls.,BEDROCK
1635,limestone-Warsaw,BEDROCK
1636,limy sandrock,BEDROCK
1637,loose chert,BEDROCK
1638,loose rock & clay,DIRT AND BEDROCK
1639,lost core,UNKNOWN
1640,Lower Glen Dean,BEDROCK
1641,Lower Paint Creek,BEDROCK
1642,Lower Renault,BEDROCK
1643,lt gray sandstone,BEDROCK
1644,lyrs fn s & crs gvl,SAND AND GRAVEL
1645,McClosky,BEDROCK
1646,med coarse sand gravel,SAND AND GRAVEL
1647,med sand med gravel,SAND AND GRAVEL
1648,medium brown shale,BEDROCK
1649,medium crystalline gray limestone,BEDROCK
1650,medium dark gray shale,BEDROCK
1651,medium hard black coal,BEDROCK
1652,medium hard black shale,BEDROCK
1653,medium hard black slate,BEDROCK
1654,medium hard coal,BEDROCK
1655,medium hard gray fireclay,BEDROCK
1656,medium hard gray sandstone,BEDROCK
1657,medium sand - Sankoty,SAND
1658,medium sand w/some fine gravel,SAND AND GRAVEL
1659,"medium sand, poorly graded",SAND
1660,medium sandy gray shale,BEDROCK
1661,medium sankoty,SAND
1662,medium soft coal,BEDROCK
1663,medium to hard gray shale,BEDROCK
1664,mine cavity,BEDROCK
1665,mine cavity & debris,BEDROCK
1666,Missing sample,UNKNOWN
1667,Mississippian,BEDROCK
1668,mixed clay topsoils,SOIL
1669,mixed gravelly clay & gray gravelly clay,CLAY AND GRAVEL
1670,more of same,UNKNOWN
1671,more of the same,UNKNOWN
1672,MSC,UNKNOWN
1673,"mud, blue, soft",DIRT
1674,"mud, dark",DIRT
1675,"mud, white",DIRT
1676,muddy sand-gravel,SAND AND GRAVEL
1677,Niagaran Formation,BEDROCK
1678,No core.,UNKNOWN
1679,no cuttings,UNKNOWN
1680,No Description.,UNKNOWN
1681,no record on log,UNKNOWN
1682,No record.,UNKNOWN
1683,no sample obtained,UNKNOWN
1684,No Sample,UNKNOWN
1685,No. 6 Coal.,BEDROCK
1686,No.6coal,BEDROCK
1687,NS,UNKNOWN
1688,Oil Rock(Guttenberg),BEDROCK
1689,Oilrock (Guttenberg),BEDROCK
1690,Oneota dolomite,BEDROCK
1691,organic silty clay fill,FILL
1692,"overburden,no sample required",UNKNOWN
1693,Overburden.,DIRT
1694,Paint Creek,BEDROCK
1695,Paint Creek lime,BEDROCK
1696,Pearl,SAND AND GRAVEL
1697,penn,BEDROCK
1698,penn shale,BEDROCK
1699,Pennsylvanian System,BEDROCK
1700,"Peoria silt, clay",CLAY
1701,Piasa limestone,BEDROCK
1702,Platteville at,BEDROCK
1703,Platteville lime,BEDROCK
1704,Plattville,BEDROCK
1705,Potosi at,BEDROCK
1706,prly grdd s sp gry fine grained tr gvl,SAND AND GRAVEL
1707,prly grdd s sp gvl cobbles & boulders,BOULDER
1708,pure sandstone,BEDROCK
1709,pyrite band,BEDROCK
1710,Quartz sandstone.,BEDROCK
1711,red & brown sandstone,BEDROCK
1712,red & yellow sandstone,BEDROCK
1713,red & yellow shale,BEDROCK
1714,red clay & gvl mixed,CLAY AND GRAVEL
1715,red clay & shale,DIRT AND BEDROCK
1716,red flinty clay,CLAY
1717,"red rock, red, soft",BEDROCK
1718,"red rock, soft",BEDROCK
1719,"Red, gray and green shale",BEDROCK
1720,reddish sandstone,BEDROCK
1721,Renault,BEDROCK
1722,Robein,SILT
1723,Rock @,BEDROCK
1724,rock bottom,BEDROCK
1725,rock brown,BEDROCK
1726,rock red,BEDROCK
1727,rock w/ shale,BEDROCK
1728,rock w/streaks of shale,BEDROCK
1729,rock/gray lime,BEDROCK
1730,s & gvl,SAND AND GRAVEL
1731,salt & pepper,UNKNOWN
1732,salt & pepper lime,BEDROCK
1733,salt sand,SAND
1734,Same as above.,UNKNOWN
1735,"same dolomite,cherty",BEDROCK
1736,"same dolomite,non-cherty",BEDROCK
1737,"Same, cherty",BEDROCK
1738,"same,cherty",BEDROCK
1739,Same.,UNKNOWN
1740,sample,UNKNOWN
1741,Samples not studied.,UNKNOWN
1742,sand & few gravel,SAND AND GRAVEL
1743,sand & oil,BEDROCK
1744,sand & shaley sand,BEDROCK
1745,sand (oil),SAND
1746,sand and few gravel,SAND AND GRAVEL
1747,"sand brown, small gravel",SAND AND GRAVEL
1748,sand fine at,SAND
1749,sand fine coarse,SAND
1750,sand fine poorly graded,SAND
1751,sand gravel with sandy clay,GRAVEL AND CLAY
1752,sand medium coarse fine gravel,SAND AND GRAVEL
1753,sand medium fine brown,SAND
1754,sand medium fine gray,SAND
1755,sand oil,BEDROCK
1756,sand oil show,BEDROCK
1757,sand shale & lime,BEDROCK
1758,sand w/shale,DIRT AND BEDROCK
1759,sand w/shale streaks,DIRT AND BEDROCK
1760,sand with shale streaks,DIRT AND BEDROCK
1761,sand yellow wet,SAND
1762,"sand, broken",SAND
1763,"sand, coarse, gravel",SAND AND GRAVEL
1764,"sand, coarse; fine gravel",SAND AND GRAVEL
1765,"sand, coarse; medium gravel",SAND AND GRAVEL
1766,"sand, coarse; small gravel",SAND AND GRAVEL
1767,"sand, fine medium",SAND
1768,"sand, fine-med",SAND
1769,"sand, grey",SAND
1770,"sand, light",SAND
1771,"sand, light, medium",SAND
1772,"sand, light, soft",SAND
1773,"sand, lime",BEDROCK
1774,"sand, lime and shale",DIRT AND BEDROCK
1775,"sand, medium grain",SAND
1776,"sand, oil",BEDROCK
1777,"sand, shale & shells",DIRT AND BEDROCK
1778,"sand, shale and shells",DIRT AND BEDROCK
1779,"sand, shale, light",DIRT AND BEDROCK
1780,"sand, soil & gravel",SAND
1781,"sand, white, medium",SAND
1782,sand-Cypress,BEDROCK
1783,"sandrock gray, dirty",BEDROCK
1784,"sandrock, white",BEDROCK
1785,sand-shale,DIRT AND BEDROCK
1786,Sandstone - as above.,BEDROCK
1787,sandstone & shale gray,BEDROCK
1788,"sandstone & shale, gray",BEDROCK
1789,sandstone (St. Pete),BEDROCK
1790,sandstone and lime,BEDROCK
1791,sandstone brown soft,BEDROCK
1792,sandstone dirty,BEDROCK
1793,sandstone gray cemented,BEDROCK
1794,sandstone gray clean,BEDROCK
1795,sandstone gray dirty,BEDROCK
1796,"sandstone gray, dirty",BEDROCK
1797,sandstone light gray clean,BEDROCK
1798,sandstone limey,BEDROCK
1799,sandstone limy,BEDROCK
1800,sandstone shale layers,BEDROCK
1801,sandstone shaly,BEDROCK
1802,sandstone tan,BEDROCK
1803,sandstone w/ shale streaks,BEDROCK
1804,sandstone w/sandy shale seams,BEDROCK
1805,sandstone with shale bands,BEDROCK
1806,"sandstone:fine,light,silty",BEDROCK
1807,"sandstone:gray,fine",BEDROCK
1808,"sandstone:gray,fine,silty",BEDROCK
1809,"sandy clay, little water",CLAY AND SAND
1810,sandy gray clay w/gravel & gravel streak,CLAY AND GRAVEL  MIX
1811,sandy gray drift,CLAY
1812,sandy gray slate,BEDROCK
1813,"sandy lime, gray",BEDROCK
1814,"sandy lime, gray, hard",BEDROCK
1815,sandy shale & gray sandstone,BEDROCK
1816,sandy shale & shells,BEDROCK
1817,sandy shale and lime streaks,BEDROCK
1818,sandy shale w/sandstone seams,BEDROCK
1819,sandy shale with lime streaks,BEDROCK
1820,"Sandy Shale, Carbondale Formation",BEDROCK
1821,Sandy shale.,BEDROCK
1822,sandy silt to clayey silt,SILT
1823,Sangamon soil,SOIL
1824,sd sh,BEDROCK
1825,sdy sh,BEDROCK
1826,seal clay,CLAY
1827,"seal, yellow sandy clay",CLAY AND SAND
1828,see detailed description program,UNKNOWN
1829,see folder,UNKNOWN
1830,See folder for detailed description,UNKNOWN
1831,shaly coal,BEDROCK
1832,sharp contact,UNKNOWN
1833,shells & shale,BEDROCK
1834,sicl br mot trsa,CLAY
1835,sicl gr trsa,CLAY
1836,"sicl, gr",CLAY
1837,silica,SAND
1838,"Silt, clayey, sandy, calcareous, grayish brown, spores",CLAY AND SAND
1839,Siltstone - as above.,BEDROCK
1840,Siltstone - similar to above.,BEDROCK
1841,siltstone and shale,BEDROCK
1842,Siltstone.,BEDROCK
1843,silty clay & clay,CLAY
1844,silty clay gry moist hard tr sand/gvl,CLAY AND GRAVEL
1845,"silty clay, gray, trace sand",CLAY AND SAND
1846,Silty gray shale.,BEDROCK
1847,Silty sandstone.,BEDROCK
1848,silty shale w/siderite,BEDROCK
1849,Silty shale.,BEDROCK
1850,slate & shells,BEDROCK
1851,slate at,BEDROCK
1852,slate black soft,BEDROCK
1853,slate soft,BEDROCK
1854,slate white soft,BEDROCK
1855,SMH coal,BEDROCK
1856,smut,DIRT
1857,soft light gray clay shale,BEDROCK
1858,soft light shale,BEDROCK
1859,soft Niagara & crevices,BEDROCK
1860,soft sticky shale,BEDROCK
1861,soft to medium gray shale,BEDROCK
1862,soil 3 clay 12,SOIL
1863,soil gray clay,SOIL
1864,"soil, white",SOIL
1865,Springfield (No. 5) Coal - Removed by company,BEDROCK
1866,Springfield coal,BEDROCK
1867,st louis oil show,BEDROCK
1868,still in water bearing sandstone at,BEDROCK
1869,still in waterbearing sand & gravel at,SAND AND GRAVEL
1870,still in waterbearing sandstone at,BEDROCK
1871,strip mine spoils,DIRT
1872,surface and softpan,SOIL
1873,tan & gray clay with gravel,CLAY AND GRAVEL
1874,Tan and brown crystalline lime,BEDROCK
1875,Tan and light brown dolomitic lime,BEDROCK
1876,Tan dolomitic lime,BEDROCK
1877,Tan oolitic fossiliferous lime,BEDROCK
1878,"Tan oolitic lime, no show of oil",BEDROCK
1879,tan rock,BEDROCK
1880,Tan to light brown crystalline fossiliferous lime,BEDROCK
1881,Tan to light brown crystalline lime,BEDROCK
1882,to ground surface,SOIL
1883,top of core,UNKNOWN
1884,top of Golconda at,BEDROCK
1885,"top soil, silty sand",SOIL
1886,tough blue shale,BEDROCK
1887,tough dark shale,BEDROCK
1888,transition,UNKNOWN
1889,Trempealeau dolomite,BEDROCK
1890,Trenton (Nachusa),BEDROCK
1891,unclassified        ,UNKNOWN
1892,"underclay, gray",CLAY
1893,"Underclay, light gray.",CLAY
1894,Underclay.,CLAY
1895,Upper Renault,BEDROCK
1896,Wadsworth till,CLAY
1897,Warsaw lime,BEDROCK
1898,water sandstone,BEDROCK
1899,weathered galena,BEDROCK
1900,weathered gray limestone,BEDROCK
1901,wh fosly limestone,BEDROCK
1902,wh fossily limestone,BEDROCK
1903,white & brown sandstone,BEDROCK
1904,white & gray rock,BEDROCK
1905,white & yellow sandstone,BEDROCK
1906,White and green fine grained sand,BEDROCK
1907,White and light green fine grained sand,SAND
1908,white chalky limestone,BEDROCK
1909,White crystalline fossiliferous lime,BEDROCK
1910,"White fine grained sand, no show of oil",BEDROCK
1911,"White fine grained sand, shaley",SAND
1912,white fossily limestone,BEDROCK
1913,white lime & shale,BEDROCK
1914,White limey sand,SAND
1915,white mud,DIRT
1916,White oolitic lime,BEDROCK
1917,White oolitic limestone.,BEDROCK
1918,white sand (water),SAND
1919,white sandstone with shale,BEDROCK
1920,white sandstone with shale streaks,BEDROCK
1921,white St. Peter,BEDROCK
1922,wh-water sand rock,BEDROCK
1923,yellow & brown sandstone,BEDROCK
1924,yellow & gray,UNKNOWN
1925,yellow & gray gravelly clay mix,CLAY AND GRAVEL
1926,yellow & gray lime,BEDROCK
1927,yellow & gray sandy clay,CLAY AND SAND
1928,yellow broken lime,BEDROCK
1929,yellow brown limestone,BEDROCK
1930,yellow chert,BEDROCK
1931,yellow clay & flint,DIRT AND BEDROCK
1932,yellow h.p.,SOIL
1933,yellow limerock,BEDROCK
1934,yellow sandstone & clay,DIRT AND BEDROCK
1935,yellow sandstone & shale,BEDROCK
1936,yellow sandstone at,BEDROCK
1937,yellow sandstone/clay,DIRT AND BEDROCK
1938,yellow St. Peter,BEDROCK
1939,yellow/brown sandstone,BEDROCK
1940,Yorkville,CLAY
1941,Aux Vases,BEDROCK
1942,Herrin Coal #6,BEDROCK
1943,Renault Lower,BEDROCK
1944,Springfield Coal,BEDROCK
1945,Tar Springs,BEDROCK
1946,Paint Creek Lower,BEDROCK
1947,Rosiclare,BEDROCK
1948,Danville Coal #7,BEDROCK
1949,Vienna,BEDROCK
1950,Menard,BEDROCK
1951,Glen Dean Lower,BEDROCK
1952,Renault Upper,BEDROCK
1953,Hardinsburg,BEDROCK
1954,Salem,BEDROCK
1955,St Louis,BEDROCK
1956,Chouteau,BEDROCK
1957,Menard Lower,BEDROCK
1958,Pennsylvanian,BEDROCK
1959,Robinson,BEDROCK
1960,Kinkaid Lower,BEDROCK
1961,Ohara,BEDROCK
1962,Cypress Upper,BEDROCK
1963,Paint Creek Upper,BEDROCK
1964,Silurian,BEDROCK
1965,Waltersburg,BEDROCK
1966,Cypress Lower,BEDROCK
1967,Galena,BEDROCK
1968,Cypress Middle,BEDROCK
1969,Warsaw,BEDROCK
1970,Ste Genevieve,BEDROCK
1971,Palestine,BEDROCK
1972,Devonian,BEDROCK
1973,Niagara,BEDROCK
1974,Glen Dean Upper,BEDROCK
1975,McClosky Dolomite,BEDROCK
1976,Louisiana,BEDROCK
1977,Menard Upper,BEDROCK
1978,Kinkaid Upper,BEDROCK
1979,Tough blue clay.,CLAY
1980,brown silty clay,CLAY
1981,gray silty clay,CLAY
1982,Menard Middle,BEDROCK
1983,Weiler,BEDROCK
1984,Carper,BEDROCK
1985,Keokuk,BEDROCK
1986,Biehl,BEDROCK
1987,Downeys Bluff,BEDROCK
1988,Osage,BEDROCK
1989,brown sandstone,BEDROCK
1990,gray silt,SILT
1991,Fredonia,BEDROCK
1992,sand/gravel,SAND AND GRAVEL
1993,Kinkaid,BEDROCK
1994,hard gray clay,CLAY
1995,Platteville,BEDROCK
1996,yellow lime,UNKNOWN
1997,Stiff blue clay.,CLAY
1998,silty sand,SILT AND SAND
1999,"clay, gray",CLAY
2000,Glenwood,BEDROCK
2001,sand shale,BEDROCK
2002,hard gray shale,BEDROCK
2003,tan limestone,BEDROCK
2004,rock at,BEDROCK
2005,soft limestone,BEDROCK
2006,brown till,CLAY AND SAND
2007,No 6 Coal,BEDROCK
2008,sand fine,SAND
2009,St Louis Dolomite,BEDROCK
2010,gray dolomite,BEDROCK
2011,top,UNKNOWN
2012,Pleistocene,DIRT
2013,No 5 Coal,BEDROCK
2014,soft gray shale,BEDROCK
2015,sandy gravel,SAND AND GRAVEL
2016,topsoil brown,SOIL
2017,soft blue clay,CLAY
2018,gray clay-sand,CLAY AND SAND
2019,very stiff brown clay (moist) A-6,CLAY
2020,limestone white,BEDROCK
2021,fine sand & gravel,SAND AND GRAVEL
2022,dark slate,BEDROCK
2023,Clore,BEDROCK
2024,white sand,UNKNOWN
2025,gray clay & sand,CLAY AND SAND
2026,yellow clay & sand,CLAY AND SAND
2027,sandy lime,UNKNOWN
2028,Black earth,SOIL
2029,Little Menard,BEDROCK
2030,Ohara Lower,BEDROCK
2031,Tar Springs Upper,BEDROCK
2032,sand-gravel,SAND AND GRAVEL
2033,water,UNKNOWN
2034,Gray shale,BEDROCK
2035,Degonia,BEDROCK
2036,red sand,UNKNOWN
2037,clay fill,FILL
2038,Jackson,BEDROCK
2039,surface clay,CLAY
2040,hard blue clay,CLAY
2041,same,UNKNOWN
2042,gravelly gray clay,CLAY AND GRAVEL
2043,red rock,BEDROCK
2044,underclay,BEDROCK
2045,sand & shale,BEDROCK
2046,hard clay,CLAY
2047,"yellow clay, sand",CLAY AND SAND
2048,McClosky Upper,BEDROCK
2049,existing well,UNKNOWN
2050,Trenton,BEDROCK
2051,hard pan,CLAY
2052,soft sandstone,BEDROCK
2053,brown topsoil,SOIL
2054,no samples,UNKNOWN
2055,gray mud,CLAY
2056,loam,CLAY AND SAND
2057,McClosky Lower,BEDROCK
2058,brown silt,SILT
2059,soft clay,CLAY
2060,red gravel,GRAVEL
2061,brown dirt,SOIL
2062,topsoil & clay,SOIL
2063,Soft blue clay.,CLAY
2064,encountered water,UNKNOWN
2065,clay at,CLAY
2066,clay and gravel,CLAY AND GRAVEL
2067,Buchanan,BEDROCK
2068,Carbondale,BEDROCK
2069,sandy clay & gravel,CLAY AND GRAVEL
2070,gravel & boulders,BOULDER
2071,very stiff gray clay till,CLAY AND SAND
2072,red clay & gravel,CLAY AND GRAVEL
2073,lime shale,BEDROCK
2074,hard sandstone,BEDROCK
2075,hard lime,BEDROCK
2076,hard limestone,BEDROCK
2077,clay gravel,CLAY AND GRAVEL
2078,limestone yellow,BEDROCK
2079,large gravel,GRAVEL
2080,Tar Springs Lower,BEDROCK
2081,stiff brown clay (moist) A-6,CLAY
2082,gray fine sand,SAND
2083,embedded gray clay,CLAY
2084,Salem Lower,BEDROCK
2085,fine brown sand,SAND
2086,fine to coarse sand,SAND
2087,sand clay,CLAY AND SAND
2088,Tough blue clay,CLAY
2089,dark gray limestone,BEDROCK
2090,"gray clay, sand",CLAY AND SAND
2091,No sample,UNKNOWN
2092,gravely clay,CLAY AND GRAVEL
2093,clay gray sandy,CLAY AND SAND
2094,boulder,BOULDER
2095,dark gray clay,CLAY
2096,brown and gray silty clay,SILT
2097,clay w/gravel,CLAY WITH GRAVEL
2098,clay with gravel,CLAY WITH GRAVEL
2099,clay shale,BEDROCK
2100,muddy gravel,GRAVEL
2101,abstract,UNKNOWN
2102,Black topsoil,SOIL
2103,Grassy Creek,BEDROCK
2104,white shale,BEDROCK
2105,gray clay with gravel,CLAY WITH GRAVEL
2106,mud,CLAY
2107,coal #6,BEDROCK
2108,Lingle,BEDROCK
2109,hard white limestone,BEDROCK
2110,yellow clay & gravel,CLAY AND GRAVEL
2111,blue gravel,GRAVEL
2112,10-12 slot sand,SAND
2113,Same,UNKNOWN
2114,hard sand,UNKNOWN
2115,clay-yellow,CLAY
2116,clay-gray,CLAY
2117,sand brown,UNKNOWN
2118,fine-medium sand,SAND
2119,black loam,SILT AND SAND
2120,dirty gravel,GRAVEL
2121,brown drift,CLAY AND SAND
2122,Salem Middle,BEDROCK
2123,limestone brown,BEDROCK
2124,light gray limestone,BEDROCK
2125,soft yellow clay,CLAY
2126,sandstone & shale,BEDROCK
2127,tan sand,UNKNOWN
2128,coarse gray sand,SAND
2129,top soil & yellow clay,SOIL
2130,"sand, fine",SAND
2131,sand - gravel,SAND AND GRAVEL
2132,yellow hardpan,CLAY AND SAND
2133,hard yellow clay,CLAY
2134,muddy sand,CLAY
2135,gray clay till,CLAY AND SAND
2136,sand & fine gravel,SAND AND GRAVEL
2137,sand coarse,SAND
2138,brown stony clay,CLAY
2139,sandy gray shale,BEDROCK
2140,Kirkwood,BEDROCK
2141,brown stoney clay,CLAY AND GRAVEL
2142,fine gravel & sand,SAND AND GRAVEL
